OBJECTID,FREQUENCY,NEIGHNAME,BASE_ZONE,GENERAL_ZONING,ACRES,geom
655,4,GALINDO,GR,Vertical Mixed Use,1.445831629,
702,2,GEORGIAN ACRES,CS-1,Vertical Mixed Use,0.318232194,
854,36,HIGHLAND,MF-2,Multi-Family,4.092789239,
1684,33,ST. EDWARDS,CS,Commercial,41.89087028,
1515,93,ROSEWOOD,TOD,TOD/Corridor/Specific Regulating District,41.39301239,
375,183,CORONADO HILLS,PUD,Planned Unit Development,22.31195127,
1839,6,VILLAGE AT WESTERN OAKS,SF-4A,Single Family,22.7134754,
1151,443,NORTH AUSTIN CIVIC ASSOCIATION,SF-2,Single Family,89.01734294,
118,1,BARTON CREEK MALL AREA,MF-1,Multi-Family,1.447954868,
600,3037,EAST OAK HILL,SF-2,Single Family,933.279935,
1018,131,MANSFIELD--RIVER PLACE,SF-2,Single Family,790.4904722,
1837,136,VILLAGE AT WESTERN OAKS,SF-2,Single Family,692.5963997,
1007,13,MANSFIELD--RIVER PLACE,LO,Office,108.1082672,
1747,6,TECH RIDGE,GO,Office,19.76521882,
239,2473,BRENTWOOD,SF-3,Single Family,476.5062276,
1275,50,OLD ENFIELD,SF-3,Single Family,93.04221972,
1003,39,MANSFIELD--RIVER PLACE,GR,Commercial,143.1412822,
1587,12,SOUTH LAMAR,LO,Mixed Use,8.802006115,
722,188,GOVALLE,CS,Commercial,67.14352454,
49,5,ALLANDALE,GR,Vertical Mixed Use,51.1119932,
262,10,BULL CREEK,DR,"Agriculture, Development Reserve",75.68121236,
226,51,BRENTWOOD,GR,Mixed Use,8.320591749,
929,10,JESTER,LO,Office,90.60394978,
472,48,DEL VALLE,SF-2,Single Family,92.99146564,
1035,952,MCKINNEY,SF-2,Single Family,198.6979212,
1129,1732,MONTOPOLIS,SF-3,Single Family,390.5185428,
2029,139,WINDSOR PARK,GR,Mixed Use,49.39296531,
524,128,DOWNTOWN,DMU,"CBD, Downtown MU",87.75900078,
1764,25,TECH RIDGE,SF-6,Single Family,181.4401633,
1751,10,TECH RIDGE,LO,Office,40.21849689,
797,57,HANCOCK,MF-3,Multi-Family,6.61118076,
1152,3306,NORTH AUSTIN CIVIC ASSOCIATION,SF-3,Single Family,682.3828719,
329,42,CHERRY CREEK,SF-4A,Single Family,41.6053958,
1533,4,SLAUGHTER CREEK,CS,Mixed Use,68.67413143,
1662,19,SOUTHEAST,P,Public,105.6560379,
116,26,BARTON CREEK MALL AREA,LO,Office,107.1514447,
1107,110,MONTOPOLIS,CS,Commercial,121.9306476,
232,85,BRENTWOOD,LR,Mixed Use,7.972899826,
1810,2199,UPPER BOGGY CREEK,SF-3,Single Family,396.9094976,
1622,2446,SOUTH MANCHACA,SF-3,Single Family,505.1990176,
1654,113,SOUTHEAST,CS,Commercial,170.8958524,
700,87,GEORGIAN ACRES,CS,Vertical Mixed Use,97.56192244,
935,6,JESTER,RR,"Rural, Lake Austin Residence",9.61243689,
344,774,CHESTNUT,SF-3,Single Family,90.57434545,
789,36,HANCOCK,GR,Mixed Use,17.15100855,
1184,324,NORTH LAMAR,SF-3,Single Family,75.81733271,
556,902,EAST CESAR CHAVEZ,SF-3,Single Family,135.9829819,
47,12,ALLANDALE,GR,Commercial,41.20697953,
1538,15,SLAUGHTER CREEK,GR,Commercial,186.4888557,
645,3048,FRANKLIN PARK,SF-3,Single Family,521.597394,
115,2,BARTON CREEK MALL AREA,GR,Mixed Use,16.26830137,
2010,32,WINDSOR HILLS,MF-3,Multi-Family,19.21654654,
73,2,ANDERSON MILL,MF-3,Multi-Family,21.21444739,
718,3,GEORGIAN ACRES,P,Public,5.095999974,
1164,40,NORTH LAMAR,CS,Vertical Mixed Use,47.08268323,
270,6,BULL CREEK,P,Public,146.7594326,
1761,129,TECH RIDGE,SF-2,Single Family,658.7596689,
1617,117,SOUTH MANCHACA,MF-2,Multi-Family,29.17009174,
673,4,GARRISON PARK,CS-1,Commercial,0.195264348,
85,11,AVERY RANCH--LAKELINE,CH,Commercial,121.8242217,
231,3,BRENTWOOD,LR,Commercial,0.907364826,
2018,1,WINDSOR PARK,AV,Public,0.0081424,
50,10,ALLANDALE,LO,Office,21.97985576,
662,7,GALINDO,MF-3,Multi-Family,7.223586328,
855,73,HIGHLAND,MF-3,Multi-Family,9.209140877,
951,6,JOHNSTON TERRACE,MH,Mobile Home,6.413432755,
1156,3,NORTH BURNET,MF-2,Multi-Family,1.734965127,
1749,9,TECH RIDGE,GR,Mixed Use,74.28331562,
1339,49,PARKER LANE,P,Public,65.12026148,
514,116,DITTMAR--SLAUGHTER,SF-2,Single Family,579.6329898,
1801,35,UPPER BOGGY CREEK,LO,Office,2.955234968,
1110,216,MONTOPOLIS,ERC,TOD/Corridor/Specific Regulating District,226.194083,
2048,52,WINDSOR PARK,SF-6,Single Family,13.58497678,
1219,5,NORTH SHOAL CREEK,GR,Vertical Mixed Use,35.49697286,
887,26,HOLLY,GR,Mixed Use,2.006188389,
791,64,HANCOCK,LO,Mixed Use,6.467449164,
330,10,CHERRY CREEK,SF-6,Single Family,142.6210867,
402,1,DAVENPORT LAKE AUSTIN,CS,Commercial,0.278150153,
1763,20,TECH RIDGE,SF-4A,Single Family,100.2263084,
847,13,HIGHLAND,GR,Vertical Mixed Use,5.033291825,
1059,195,MCNEIL,SF-2,Single Family,1183.117142,
195,67,BOULDIN CREEK,CS-1,Vertical Mixed Use,21.43059668,
208,86,BOULDIN CREEK,MF-3,Multi-Family,42.21977071,
994,16,LBJ,RR,"Rural, Lake Austin Residence",236.2558048,
241,55,BRENTWOOD,TOD,TOD/Corridor/Specific Regulating District,30.49395275,
1321,38,ONION CREEK,RR,"Rural, Lake Austin Residence",518.8521304,
798,96,HANCOCK,MF-4,Multi-Family,27.36677221,
1417,24,RIVERSIDE,MF-4,Multi-Family,8.139935265,
732,56,GOVALLE,LI,Industrial,58.75279285,
1113,106,MONTOPOLIS,GR,Commercial,55.28437684,
567,33,EAST CONGRESS,MF-3,Multi-Family,6.105805139,
1876,128,WEST AUSTIN NEIGHBORHOOD GROUP,MF-3,Multi-Family,32.99358381,
770,23,GRACY WOODS,P,Public,467.699519,
1057,27,MCNEIL,RR,"Rural, Lake Austin Residence",331.906137,
559,61,EAST CONGRESS,CS,Commercial,67.4427716,
1805,58,UPPER BOGGY CREEK,MF-3,Multi-Family,7.917118141,
1351,27,PECAN SPRINGS-SPRINGDALE,GR,Mixed Use,46.78460932,
1953,68,WEST UNIVERSITY,MF-3,Multi-Family,8.891449108,
1912,73,WEST OAK HILL,GO,Office,199.5362961,
228,211,BRENTWOOD,LO,Mixed Use,21.47134842,
371,56,CORONADO HILLS,MF-2,Multi-Family,11.55337272,
1352,45,PECAN SPRINGS-SPRINGDALE,GR,Vertical Mixed Use,20.89607365,
746,22,GOVALLE,W/LO,Industrial,4.214954751,
1888,16,WEST CONGRESS,CS-1,Mixed Use,4.05667868,
1685,12,ST. EDWARDS,CS,Mixed Use,11.73045453,
1317,7,ONION CREEK,MF-2,Multi-Family,134.868288,
2028,38,WINDSOR PARK,GR,Commercial,7.589036775,
1049,20,MCNEIL,LO,Office,97.19084397,
1228,32,NORTH SHOAL CREEK,SF-2,Single Family,116.4471418,
304,127,CENTRAL EAST AUSTIN,TOD,TOD/Corridor/Specific Regulating District,17.13907245,
1082,74,MLK,SF-6,Single Family,28.3609983,
1678,9,SPICEWOOD,RR,"Rural, Lake Austin Residence",361.3901698,
177,7,BLUFF SPRINGS,MF-2,Multi-Family,82.9035683,
297,164,CENTRAL EAST AUSTIN,MF-4,Multi-Family,33.12596808,
221,4,BRENTWOOD,CS,Commercial,0.60278995,
1504,8,ROSEWOOD,LO,Mixed Use,0.32869379,
