FID,GEOID10,NAMELSAD10,CensusTract,Selection,SHAPE_Length,SHAPE_Area
1,48029192200,Census Tract 1922,1922,Accepted,65374.64594,161004634.5
2,48029160902,Census Tract 1609.02,1609.02,Accepted,33777.81777,27880126.75
3,48029161100,Census Tract 1611,1611,Added,58881.71595,109039905.1
4,48029152000,Census Tract 1520,1520,Added,114011.9489,499250606.5
5,48029162001,Census Tract 1620.01,1620.01,Added,124652.7032,504907896.3
6,48029150800,Census Tract 1508,1508,Accepted,32967.53063,47614245.26
7,48029121204,Census Tract 1212.04,1212.04,Accepted,28558.81006,47270066.34
8,48029160901,Census Tract 1609.01,1609.01,Added,32827.70533,26727264.15
9,48029130600,Census Tract 1306,1306,Added,19496.34427,21899063.94
10,48029130700,Census Tract 1307,1307,Accepted,19892.20222,15867970.38
11,48029130800,Census Tract 1308,1308,Accepted,58641.36081,90779345.59
12,48029110600,Census Tract 1106,1106,Accepted,20426.41192,21173790.89
13,48029110500,Census Tract 1105,1105,Accepted,16048.49382,13666529.86
14,48029121203,Census Tract 1212.03,1212.03,Accepted,45999.21813,80509411.84
15,48029121205,Census Tract 1212.05,1212.05,Accepted,24848.76456,32019032.11
16,48029980100,Census Tract 9801,9801,Accepted,71572.43861,155794844.5
17,48029161200,Census Tract 1612,1612,Added,129665.9126,500791480.4
18,48029110100,Census Tract 1101,1101,Accepted,26074.75003,38168577.72
19,48029980002,Census Tract 9800.02,9800.02,Added,18447.19751,16711355.26
20,48029171802,Census Tract 1718.02,1718.02,Added,26801.72751,27231796.78
21,48029152100,Census Tract 1521,1521,Added,172355.0122,1204029529
22,48029170102,Census Tract 1701.02,1701.02,Accepted,14859.04252,13216504.56
23,48029141800,Census Tract 1418,1418,Added,172459.4411,846277091.4
24,48029150600,Census Tract 1506,1506,Added,18332.99287,20347689.62
